#time 	 prey_t	predator1_t	predator2_t
1.890000 0.957482 1.792260 1.792260
1.895000 0.956186 1.792221 1.792221
1.900000 0.954892 1.792182 1.792182
1.905000 0.953600 1.792141 1.792141
1.910000 0.952311 1.792098 1.792098
1.915000 0.951025 1.792055 1.792055
1.920000 0.949741 1.792011 1.792011
1.925000 0.948459 1.791965 1.791965
1.930000 0.947180 1.791918 1.791918
1.935000 0.945903 1.791870 1.791870
1.940000 0.944629 1.791821 1.791821
1.945000 0.943358 1.791771 1.791771
1.950000 0.942088 1.791720 1.791720
1.955000 0.940822 1.791667 1.791667
1.960000 0.939557 1.791614 1.791614
1.965000 0.938296 1.791559 1.791559
1.970000 0.937036 1.791503 1.791503
1.975000 0.935779 1.791446 1.791446
1.980000 0.934525 1.791388 1.791388
1.985000 0.933273 1.791329 1.791329
1.990000 0.932023 1.791269 1.791269
1.995000 0.930776 1.791207 1.791207
2.000000 0.929531 1.791145 1.791145
2.005000 0.928288 1.791081 1.791081
2.010000 0.927048 1.791016 1.791016
2.015000 0.925811 1.790950 1.790950
2.020000 0.924576 1.790883 1.790883
2.025000 0.923343 1.790815 1.790815
2.030000 0.922112 1.790746 1.790746
2.035000 0.920884 1.790676 1.790676
2.040000 0.919658 1.790604 1.790604
2.045000 0.918435 1.790532 1.790532
2.050000 0.917214 1.790458 1.790458
2.055000 0.915995 1.790384 1.790384
2.060000 0.914779 1.790308 1.790308
2.065000 0.913565 1.790231 1.790231
2.070000 0.912353 1.790153 1.790153
2.075000 0.911144 1.790074 1.790074
2.080000 0.909936 1.789994 1.789994
2.085000 0.908732 1.789913 1.789913
2.090000 0.907529 1.789831 1.789831
2.095000 0.906329 1.789748 1.789748
2.100000 0.905131 1.789663 1.789663
2.105000 0.903936 1.789578 1.789578
2.110000 0.902743 1.789491 1.789491
2.115000 0.901552 1.789404 1.789404
2.120000 0.900363 1.789315 1.789315
2.125000 0.899177 1.789225 1.789225
2.130000 0.897992 1.789135 1.789135
2.135000 0.896811 1.789043 1.789043
